actor_tag,actor_id,frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,map
npc,141,155337,6876.806,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155338,6876.886,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155338,6876.886,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155339,6876.964,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155339,6876.964,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155340,6877.034,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155340,6877.034,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155341,6877.100,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155341,6877.100,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155342,6877.185,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155342,6877.185,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155343,6877.247,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155343,6877.247,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155344,6877.314,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155344,6877.314,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155345,6877.375,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155345,6877.375,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155346,6877.455,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155346,6877.455,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155347,6877.519,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155347,6877.519,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
